Date,Name,Client,Project,Hours,Role,Freelancer,Billable
8/3/2020,Kattie Gerlach,"Feeney, Balistreri and Waters",whiteboard vertical portals,4.5,Account Manager,No,Yes
8/3/2020,Kattie Gerlach,Prohaska - Schiller,transform bricks-and-clicks mindshare,1,Account Manager,No,No
8/3/2020,Kattie Gerlach,Prohaska - Schiller,transition user-centric interfaces,1.25,Account Manager,No,No
8/3/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,2.25,Account Manager,No,No
8/3/2020,Ottilie Graham,Larson Inc,deliver mission-critical vortals,1,Designer,No,Yes
8/3/2020,Ottilie Graham,Prohaska - Schiller,implement viral markets,2,Designer,No,No
8/3/2020,Ottilie Graham,Wintheiser LLC,integrate extensible bandwidth,2,Designer,No,Yes
8/3/2020,Ottilie Graham,Prohaska - Schiller,monetize vertical convergence,1,Designer,No,No
8/3/2020,Ottilie Graham,"Feeney, Balistreri and Waters",implement proactive content,2,Designer,No,Yes
8/3/2020,Phoebe Hilll,"Feeney, Balistreri and Waters",whiteboard vertical portals,10,Producer,No,Yes
8/3/2020,Kattie Gerlach,Walsh and Sons,expedite B2B applications,1,Account Manager,No,Yes
8/3/2020,Nelson Frami,Walsh and Sons,implement holistic action-items,1,Writer,No,Yes
8/3/2020,Nelson Frami,"Feeney, Balistreri and Waters",implement proactive content,5,Writer,No,Yes
8/3/2020,Nelson Frami,Walsh and Sons,expedite B2B applications,2,Writer,No,Yes
8/3/2020,Bernardo Legros,Walsh and Sons,implement holistic action-items,1,Designer,No,Yes
8/3/2020,Bernardo Legros,Prohaska - Schiller,transition user-centric interfaces,1,Designer,No,No
8/3/2020,Bernardo Legros,"Feeney, Balistreri and Waters",whiteboard vertical portals,6,Designer,No,Yes
8/4/2020,Ophelia Lynch,Prohaska - Schiller,implement viral markets,4.94,Designer,No,No
8/4/2020,Ophelia Lynch,"Feeney, Balistreri and Waters",implement proactive content,1,Designer,No,Yes
8/4/2020,Kattie Gerlach,Larson Inc,deliver mission-critical vortals,0.25,Account Manager,No,Yes
8/4/2020,Kattie Gerlach,Walsh and Sons,revolutionize end-to-end networks,0.75,Account Manager,No,Yes
8/4/2020,Kattie Gerlach,Prohaska - Schiller,transition user-centric interfaces,0.25,Account Manager,No,No
8/4/2020,Kattie Gerlach,Walsh and Sons,implement holistic action-items,0.25,Account Manager,No,Yes
8/4/2020,Kattie Gerlach,"Feeney, Balistreri and Waters",whiteboard vertical portals,1.5,Account Manager,No,Yes
8/4/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,4.25,Account Manager,No,No
8/4/2020,Ottilie Graham,Walsh and Sons,enhance dot-com convergence,1,Designer,No,Yes
8/4/2020,Ottilie Graham,Larson Inc,deliver mission-critical vortals,1,Designer,No,Yes
8/4/2020,Ottilie Graham,Prohaska - Schiller,monetize vertical convergence,1,Designer,No,No
8/4/2020,Ottilie Graham,"Feeney, Balistreri and Waters",implement proactive content,2,Designer,No,Yes
8/4/2020,Ottilie Graham,Wintheiser LLC,integrate extensible bandwidth,3,Designer,No,Yes
8/4/2020,Phoebe Hilll,"Feeney, Balistreri and Waters",whiteboard vertical portals,3,Producer,No,Yes
8/4/2020,Phoebe Hilll,Prohaska - Schiller,transition user-centric interfaces,5,Producer,No,No
8/4/2020,Marianna Armstrong,Wintheiser LLC,integrate extensible bandwidth,1,Writer,No,Yes
8/4/2020,Marianna Armstrong,Prohaska - Schiller,transition user-centric interfaces,2,Writer,No,No
8/4/2020,Marianna Armstrong,Prohaska - Schiller,syndicate global platforms,4,Writer,No,No
8/4/2020,Marianna Armstrong,"Feeney, Balistreri and Waters",whiteboard vertical portals,1,Writer,No,Yes
8/4/2020,Kattie Gerlach,Walsh and Sons,expedite B2B applications,1,Account Manager,No,Yes
8/4/2020,Nelson Frami,Walsh and Sons,implement holistic action-items,0.5,Writer,No,Yes
8/4/2020,Nelson Frami,"Feeney, Balistreri and Waters",implement proactive content,3,Writer,No,Yes
8/4/2020,Nelson Frami,Prohaska - Schiller,syndicate global platforms,1,Writer,No,No
8/4/2020,Nelson Frami,Walsh and Sons,expedite B2B applications,3,Writer,No,Yes
8/4/2020,Bernardo Legros,Walsh and Sons,implement holistic action-items,1,Designer,No,Yes
8/4/2020,Bernardo Legros,Prohaska - Schiller,transition user-centric interfaces,0.5,Designer,No,No
8/4/2020,Bernardo Legros,Walsh and Sons,expedite B2B applications,1,Designer,No,Yes
8/4/2020,Bernardo Legros,"Feeney, Balistreri and Waters",whiteboard vertical portals,6.5,Designer,No,Yes
8/5/2020,Ophelia Lynch,Prohaska - Schiller,implement viral markets,5.18,Designer,No,No
8/5/2020,Ophelia Lynch,Larson Inc,deliver mission-critical vortals,1,Designer,No,Yes
8/5/2020,Ottilie Graham,Larson Inc,deliver mission-critical vortals,2,Designer,No,Yes
8/5/2020,Ottilie Graham,"Feeney, Balistreri and Waters",implement proactive content,4,Designer,No,Yes
8/5/2020,Ottilie Graham,Wintheiser LLC,integrate extensible bandwidth,2,Designer,No,Yes
8/5/2020,Ottilie Graham,Prohaska - Schiller,monetize vertical convergence,1,Designer,No,No
8/5/2020,Kattie Gerlach,"Feeney, Balistreri and Waters",whiteboard vertical portals,1,Account Manager,No,Yes
8/5/2020,Kattie Gerlach,Wintheiser LLC,integrate extensible bandwidth,0.25,Account Manager,No,Yes
8/5/2020,Kattie Gerlach,Prohaska - Schiller,transition user-centric interfaces,0.5,Account Manager,No,No
8/5/2020,Kattie Gerlach,Larson Inc,deliver mission-critical vortals,0.75,Account Manager,No,Yes
8/5/2020,Kattie Gerlach,Walsh and Sons,implement holistic action-items,0.5,Account Manager,No,Yes
8/5/2020,Kattie Gerlach,Prohaska - Schiller,transform bricks-and-clicks mindshare,0.25,Account Manager,No,No
8/5/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,4.5,Account Manager,No,No
8/5/2020,Phoebe Hilll,Prohaska - Schiller,synergize back-end interfaces,8,Producer,No,No
8/5/2020,Marianna Armstrong,Prohaska - Schiller,transition user-centric interfaces,2,Writer,No,No
8/5/2020,Marianna Armstrong,Prohaska - Schiller,syndicate global platforms,6,Writer,No,No
8/5/2020,Kattie Gerlach,Walsh and Sons,expedite B2B applications,1,Account Manager,No,Yes
8/5/2020,Kattie Gerlach,Walsh and Sons,revolutionize end-to-end networks,0.25,Account Manager,No,Yes
8/5/2020,Nelson Frami,Walsh and Sons,implement holistic action-items,0.5,Writer,No,Yes
8/5/2020,Nelson Frami,Walsh and Sons,expedite B2B applications,5,Writer,No,Yes
8/5/2020,Nelson Frami,"Feeney, Balistreri and Waters",implement proactive content,1,Writer,No,Yes
8/5/2020,Nelson Frami,Prohaska - Schiller,syndicate global platforms,0.5,Writer,No,No
8/5/2020,Bernardo Legros,Walsh and Sons,implement holistic action-items,1,Designer,No,Yes
8/5/2020,Bernardo Legros,Prohaska - Schiller,transition user-centric interfaces,0.5,Designer,No,No
8/5/2020,Bernardo Legros,"Feeney, Balistreri and Waters",whiteboard vertical portals,6.5,Designer,No,Yes
8/6/2020,Ophelia Lynch,Prohaska - Schiller,implement viral markets,4,Designer,No,No
8/6/2020,Ophelia Lynch,"Feeney, Balistreri and Waters",implement proactive content,1.06,Designer,No,Yes
8/6/2020,Ophelia Lynch,"Feeney, Balistreri and Waters",implement proactive content,1.5,Designer,No,Yes
8/6/2020,Kattie Gerlach,Larson Inc,deliver mission-critical vortals,0.5,Account Manager,No,Yes
8/6/2020,Kattie Gerlach,Walsh and Sons,implement holistic action-items,1.25,Account Manager,No,Yes
8/6/2020,Kattie Gerlach,Walsh and Sons,expedite B2B applications,0.5,Account Manager,No,Yes
8/6/2020,Kattie Gerlach,"Feeney, Balistreri and Waters",whiteboard vertical portals,0.5,Account Manager,No,Yes
8/6/2020,Kattie Gerlach,Prohaska - Schiller,transform bricks-and-clicks mindshare,0.25,Account Manager,No,No
8/6/2020,Kattie Gerlach,Prohaska - Schiller,transition user-centric interfaces,0.5,Account Manager,No,No
8/6/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,4.25,Account Manager,No,No
8/6/2020,Ottilie Graham,Wintheiser LLC,integrate extensible bandwidth,7.5,Designer,No,Yes
8/6/2020,Ottilie Graham,"Feeney, Balistreri and Waters",implement proactive content,2,Designer,No,Yes
8/6/2020,Marianna Armstrong,Wintheiser LLC,integrate extensible bandwidth,4.67,Writer,No,Yes
8/6/2020,Marianna Armstrong,Prohaska - Schiller,transition user-centric interfaces,2,Writer,No,No
8/6/2020,Marianna Armstrong,Prohaska - Schiller,syndicate global platforms,3,Writer,No,No
8/6/2020,Nelson Frami,"Feeney, Balistreri and Waters",implement proactive content,1,Writer,No,Yes
8/6/2020,Nelson Frami,Walsh and Sons,expedite B2B applications,7,Writer,No,Yes
8/6/2020,Phoebe Hilll,Prohaska - Schiller,transition user-centric interfaces,5,Producer,No,No
8/6/2020,Phoebe Hilll,"Feeney, Balistreri and Waters",whiteboard vertical portals,3,Producer,No,Yes
8/6/2020,Bernardo Legros,Walsh and Sons,implement holistic action-items,1,Designer,No,Yes
8/6/2020,Bernardo Legros,Prohaska - Schiller,transition user-centric interfaces,0.5,Designer,No,No
8/6/2020,Bernardo Legros,"Feeney, Balistreri and Waters",whiteboard vertical portals,6.5,Designer,No,Yes
8/7/2020,Ophelia Lynch,Prohaska - Schiller,implement viral markets,4.08,Designer,No,No
8/7/2020,Ophelia Lynch,Prohaska - Schiller,transform bricks-and-clicks mindshare,1.2,Designer,No,No
8/7/2020,Nelson Frami,"Feeney, Balistreri and Waters",implement proactive content,1,Writer,No,Yes
8/7/2020,Nelson Frami,Walsh and Sons,expedite B2B applications,6.5,Writer,No,Yes
8/7/2020,Nelson Frami,Prohaska - Schiller,syndicate global platforms,0.5,Writer,No,No
8/7/2020,Phoebe Hilll,"Feeney, Balistreri and Waters",whiteboard vertical portals,3,Producer,No,Yes
8/7/2020,Phoebe Hilll,Wintheiser LLC,integrate extensible bandwidth,5,Producer,No,Yes
8/7/2020,Marianna Armstrong,Wintheiser LLC,integrate extensible bandwidth,2.5,Writer,No,Yes
8/7/2020,Marianna Armstrong,Prohaska - Schiller,syndicate global platforms,4,Writer,No,No
8/7/2020,Marianna Armstrong,Prohaska - Schiller,transition user-centric interfaces,2.5,Writer,No,No
8/7/2020,Kattie Gerlach,Larson Inc,deliver mission-critical vortals,0.75,Account Manager,No,Yes
8/7/2020,Kattie Gerlach,Walsh and Sons,implement holistic action-items,0.5,Account Manager,No,Yes
8/7/2020,Kattie Gerlach,Prohaska - Schiller,transition user-centric interfaces,2,Account Manager,No,No
8/7/2020,Kattie Gerlach,Walsh and Sons,expedite B2B applications,0.25,Account Manager,No,Yes
8/7/2020,Kattie Gerlach,"Feeney, Balistreri and Waters",whiteboard vertical portals,3.5,Account Manager,No,Yes
8/7/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,1.5,Account Manager,No,No
8/7/2020,Brock Hane,"Feeney, Balistreri and Waters",whiteboard vertical portals,4,Writer,No,Yes
8/7/2020,Brock Hane,Prohaska - Schiller,implement viral markets,2,Writer,No,No
8/7/2020,Brock Hane,Prohaska - Schiller,syndicate global platforms,3,Writer,No,No
8/7/2020,Brock Hane,"Feeney, Balistreri and Waters",implement proactive content,31,Writer,No,Yes
8/7/2020,Ottilie Graham,Wintheiser LLC,integrate extensible bandwidth,3,Designer,No,Yes
8/7/2020,Ottilie Graham,"Feeney, Balistreri and Waters",implement proactive content,4,Designer,No,Yes
8/7/2020,Ottilie Graham,Larson Inc,deliver mission-critical vortals,1,Designer,No,Yes
8/7/2020,Bernardo Legros,Walsh and Sons,implement holistic action-items,1,Designer,No,Yes
8/7/2020,Bernardo Legros,Prohaska - Schiller,transition user-centric interfaces,1.5,Designer,No,No
8/7/2020,Bernardo Legros,"Feeney, Balistreri and Waters",whiteboard vertical portals,6,Designer,No,Yes
8/7/2020,Edd Hilll,"Feeney, Balistreri and Waters",whiteboard vertical portals,8,Producer,No,Yes
8/7/2020,Edd Hilll,Larson Inc,deliver mission-critical vortals,2,Producer,No,Yes
8/7/2020,Edd Hilll,Walsh and Sons,implement holistic action-items,4,Producer,No,Yes
8/7/2020,Edd Hilll,Prohaska - Schiller,transform bricks-and-clicks mindshare,1,Producer,No,No
8/7/2020,Edd Hilll,Prohaska - Schiller,transition user-centric interfaces,8,Producer,No,No
8/7/2020,Edd Hilll,Prohaska - Schiller,syndicate global platforms,5,Producer,No,No
8/7/2020,Edd Hilll,Prohaska - Schiller,enhance bricks-and-clicks communities,4,Producer,No,No
8/7/2020,Edd Hilll,Wintheiser LLC,integrate extensible bandwidth,4,Producer,No,Yes
8/7/2020,Edd Hilll,"Feeney, Balistreri and Waters",implement proactive content,10,Producer,No,Yes
8/9/2020,Kattie Gerlach,Larson Inc,deliver mission-critical vortals,0.25,Account Manager,No,Yes
8/10/2020,Ophelia Lynch,Prohaska - Schiller,transform bricks-and-clicks mindshare,2.31,Designer,No,No
8/10/2020,Ophelia Lynch,Wintheiser LLC,integrate extensible bandwidth,2.68,Designer,No,Yes
8/10/2020,Kattie Gerlach,Larson Inc,deliver mission-critical vortals,0.75,Account Manager,No,Yes
8/10/2020,Kattie Gerlach,Walsh and Sons,revolutionize end-to-end networks,1.5,Account Manager,No,Yes
8/10/2020,Kattie Gerlach,"Feeney, Balistreri and Waters",whiteboard vertical portals,3,Account Manager,No,Yes
8/10/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,4,Account Manager,No,No
8/10/2020,Phoebe Hilll,Prohaska - Schiller,synergize back-end interfaces,6,Producer,No,No
8/10/2020,Marianna Armstrong,Wintheiser LLC,integrate extensible bandwidth,2.5,Writer,No,Yes
8/10/2020,Marianna Armstrong,Prohaska - Schiller,implement viral markets,1.5,Writer,No,No
8/10/2020,Marianna Armstrong,Prohaska - Schiller,transition user-centric interfaces,1,Writer,No,No
8/10/2020,Marianna Armstrong,Prohaska - Schiller,syndicate global platforms,3,Writer,No,No
8/10/2020,Ottilie Graham,Larson Inc,deliver mission-critical vortals,2,Designer,No,Yes
8/10/2020,Ottilie Graham,Wintheiser LLC,integrate extensible bandwidth,8,Designer,No,Yes
8/10/2020,Bernardo Legros,"Feeney, Balistreri and Waters",implement proactive content,8,Designer,No,Yes
8/10/2020,Bernardo Legros,Prohaska - Schiller,transition user-centric interfaces,1,Designer,No,No
8/11/2020,Ophelia Lynch,Wintheiser LLC,integrate extensible bandwidth,3,Designer,No,Yes
8/11/2020,Ophelia Lynch,Prohaska - Schiller,transform bricks-and-clicks mindshare,0.37,Designer,No,No
8/11/2020,Ophelia Lynch,Larson Inc,deliver mission-critical vortals,0.33,Designer,No,Yes
8/11/2020,Phoebe Hilll,Prohaska - Schiller,syndicate global platforms,1,Producer,No,No
8/11/2020,Phoebe Hilll,"Feeney, Balistreri and Waters",whiteboard vertical portals,2.5,Producer,No,Yes
8/11/2020,Phoebe Hilll,Prohaska - Schiller,synergize back-end interfaces,4.5,Producer,No,No
8/11/2020,Ophelia Lynch,Walsh and Sons,leverage B2C e-business,2.26,Designer,No,Yes
8/11/2020,Kattie Gerlach,"Feeney, Balistreri and Waters",whiteboard vertical portals,2.25,Account Manager,No,Yes
8/11/2020,Kattie Gerlach,Prohaska - Schiller,transition user-centric interfaces,0.5,Account Manager,No,No
8/11/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,3.75,Account Manager,No,No
8/11/2020,Kattie Gerlach,Walsh and Sons,revolutionize end-to-end networks,0.75,Account Manager,No,Yes
8/11/2020,Kattie Gerlach,Walsh and Sons,implement holistic action-items,0.75,Account Manager,No,Yes
8/11/2020,Kattie Gerlach,Walsh and Sons,expedite B2B applications,0.25,Account Manager,No,Yes
8/11/2020,Marianna Armstrong,Wintheiser LLC,integrate extensible bandwidth,3,Writer,No,Yes
8/11/2020,Marianna Armstrong,Prohaska - Schiller,implement viral markets,0.5,Writer,No,No
8/11/2020,Marianna Armstrong,Prohaska - Schiller,transition user-centric interfaces,2,Writer,No,No
8/11/2020,Marianna Armstrong,Prohaska - Schiller,syndicate global platforms,3.5,Writer,No,No
8/11/2020,Ottilie Graham,Wintheiser LLC,integrate extensible bandwidth,9,Designer,No,Yes
8/11/2020,Bernardo Legros,Walsh and Sons,implement holistic action-items,3,Designer,No,Yes
8/11/2020,Bernardo Legros,"Feeney, Balistreri and Waters",implement proactive content,2,Designer,No,Yes
8/11/2020,Bernardo Legros,Walsh and Sons,enhance dot-com convergence,3,Designer,No,Yes
8/11/2020,Bernardo Legros,Prohaska - Schiller,transition user-centric interfaces,0.5,Designer,No,No
8/12/2020,Phoebe Hilll,Prohaska - Schiller,synergize back-end interfaces,4,Producer,No,No
8/12/2020,Ophelia Lynch,Walsh and Sons,leverage B2C e-business,2.18,Designer,No,Yes
8/12/2020,Ophelia Lynch,Prohaska - Schiller,implement viral markets,2.69,Designer,No,No
8/12/2020,Ophelia Lynch,Wintheiser LLC,integrate extensible bandwidth,0.95,Designer,No,Yes
8/12/2020,Kattie Gerlach,Larson Inc,deliver mission-critical vortals,0.75,Account Manager,No,Yes
8/12/2020,Kattie Gerlach,Walsh and Sons,revolutionize end-to-end networks,0.5,Account Manager,No,Yes
8/12/2020,Kattie Gerlach,Walsh and Sons,implement holistic action-items,0.5,Account Manager,No,Yes
8/12/2020,Kattie Gerlach,Walsh and Sons,expedite B2B applications,0.5,Account Manager,No,Yes
8/12/2020,Kattie Gerlach,Wintheiser LLC,integrate extensible bandwidth,0.25,Account Manager,No,Yes
8/12/2020,Kattie Gerlach,Prohaska - Schiller,transition user-centric interfaces,1,Account Manager,No,No
8/12/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,4.5,Account Manager,No,No
8/12/2020,Phoebe Hilll,"Feeney, Balistreri and Waters",whiteboard vertical portals,4,Producer,No,Yes
8/12/2020,Marianna Armstrong,Wintheiser LLC,integrate extensible bandwidth,3.5,Writer,No,Yes
8/12/2020,Marianna Armstrong,Prohaska - Schiller,implement viral markets,1,Writer,No,No
8/12/2020,Marianna Armstrong,Prohaska - Schiller,syndicate global platforms,4.5,Writer,No,No
8/12/2020,Ottilie Graham,Larson Inc,deliver mission-critical vortals,2,Designer,No,Yes
8/12/2020,Ottilie Graham,Wintheiser LLC,integrate extensible bandwidth,10,Designer,No,Yes
8/12/2020,Bernardo Legros,Walsh and Sons,implement holistic action-items,2,Designer,No,Yes
8/12/2020,Bernardo Legros,Walsh and Sons,enhance dot-com convergence,5,Designer,No,Yes
8/12/2020,Bernardo Legros,Prohaska - Schiller,transition user-centric interfaces,1,Designer,No,No
8/13/2020,Phoebe Hilll,Prohaska - Schiller,synergize back-end interfaces,6,Producer,No,No
8/13/2020,Phoebe Hilll,"Feeney, Balistreri and Waters",whiteboard vertical portals,2,Producer,No,Yes
8/13/2020,Ophelia Lynch,Wintheiser LLC,integrate extensible bandwidth,0.73,Designer,No,Yes
8/13/2020,Ophelia Lynch,Walsh and Sons,leverage B2C e-business,2.09,Designer,No,Yes
8/13/2020,Ophelia Lynch,Walsh and Sons,implement holistic action-items,1.45,Designer,No,Yes
8/13/2020,Kattie Gerlach,Walsh and Sons,implement holistic action-items,0.75,Account Manager,No,Yes
8/13/2020,Kattie Gerlach,Walsh and Sons,expedite B2B applications,0.75,Account Manager,No,Yes
8/13/2020,Kattie Gerlach,Wintheiser LLC,integrate extensible bandwidth,0.5,Account Manager,No,Yes
8/13/2020,Kattie Gerlach,Prohaska - Schiller,transition user-centric interfaces,1,Account Manager,No,No
8/13/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,5.25,Account Manager,No,No
8/13/2020,Marianna Armstrong,Wintheiser LLC,integrate extensible bandwidth,3,Writer,No,Yes
8/13/2020,Marianna Armstrong,Prohaska - Schiller,syndicate global platforms,4.5,Writer,No,No
8/13/2020,Marianna Armstrong,Prohaska - Schiller,implement viral markets,1,Writer,No,No
8/13/2020,Marianna Armstrong,Prohaska - Schiller,transition user-centric interfaces,0.5,Writer,No,No
8/13/2020,Ottilie Graham,Wintheiser LLC,integrate extensible bandwidth,5,Designer,No,Yes
8/13/2020,Bernardo Legros,Prohaska - Schiller,transition user-centric interfaces,0.5,Designer,No,No
8/13/2020,Bernardo Legros,Walsh and Sons,implement holistic action-items,2,Designer,No,Yes
8/13/2020,Bernardo Legros,Walsh and Sons,enhance dot-com convergence,4,Designer,No,Yes
8/13/2020,Bernardo Legros,Walsh and Sons,expedite B2B applications,1.5,Designer,No,Yes
8/14/2020,Phoebe Hilll,Prohaska - Schiller,synergize back-end interfaces,8,Producer,No,No
8/14/2020,Ophelia Lynch,Prohaska - Schiller,implement viral markets,1,Designer,No,No
8/14/2020,Ophelia Lynch,Walsh and Sons,implement holistic action-items,1.54,Designer,No,Yes
8/14/2020,Marianna Armstrong,Wintheiser LLC,integrate extensible bandwidth,2,Writer,No,Yes
8/14/2020,Marianna Armstrong,Prohaska - Schiller,syndicate global platforms,5,Writer,No,No
8/14/2020,Marianna Armstrong,Prohaska - Schiller,implement viral markets,1,Writer,No,No
8/14/2020,Kattie Gerlach,Prohaska - Schiller,transition user-centric interfaces,1.25,Account Manager,No,No
8/14/2020,Kattie Gerlach,Larson Inc,deliver mission-critical vortals,0.25,Account Manager,No,Yes
8/14/2020,Kattie Gerlach,Walsh and Sons,implement holistic action-items,0.25,Account Manager,No,Yes
8/14/2020,Kattie Gerlach,Walsh and Sons,expedite B2B applications,0.25,Account Manager,No,Yes
8/14/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,6.75,Account Manager,No,No
8/14/2020,Brock Hane,Walsh and Sons,expedite B2B applications,12,Writer,No,Yes
8/14/2020,Brock Hane,"Feeney, Balistreri and Waters",implement proactive content,4,Writer,No,Yes
8/14/2020,Brock Hane,Prohaska - Schiller,implement viral markets,3,Writer,No,No
8/14/2020,Brock Hane,Prohaska - Schiller,syndicate global platforms,3,Writer,No,No
8/14/2020,Brock Hane,Walsh and Sons,leverage B2C e-business,18,Writer,No,Yes
8/14/2020,Bernardo Legros,Prohaska - Schiller,transition user-centric interfaces,1,Designer,No,No
8/14/2020,Bernardo Legros,Walsh and Sons,implement holistic action-items,3,Designer,No,Yes
8/14/2020,Bernardo Legros,Walsh and Sons,enhance dot-com convergence,1,Designer,No,Yes
8/14/2020,Bernardo Legros,Walsh and Sons,expedite B2B applications,4,Designer,No,Yes
8/14/2020,Edd Hilll,Larson Inc,deliver mission-critical vortals,1,Producer,No,Yes
8/14/2020,Edd Hilll,Walsh and Sons,implement holistic action-items,3,Producer,No,Yes
8/14/2020,Edd Hilll,Wintheiser LLC,integrate extensible bandwidth,5,Producer,No,Yes
8/14/2020,Edd Hilll,"Feeney, Balistreri and Waters",implement proactive content,2,Producer,No,Yes
8/14/2020,Edd Hilll,"Feeney, Balistreri and Waters",whiteboard vertical portals,1,Producer,No,Yes
8/14/2020,Edd Hilll,Prohaska - Schiller,transform bricks-and-clicks mindshare,1,Producer,No,No
8/14/2020,Edd Hilll,Walsh and Sons,expedite B2B applications,3,Producer,No,Yes
8/14/2020,Edd Hilll,Prohaska - Schiller,syndicate global platforms,8,Producer,No,No
8/14/2020,Edd Hilll,Prohaska - Schiller,enhance bricks-and-clicks communities,3,Producer,No,No
8/14/2020,Edd Hilll,Prohaska - Schiller,transition user-centric interfaces,8,Producer,No,No
8/15/2020,Nelson Frami,Walsh and Sons,expedite B2B applications,35,Writer,No,Yes
8/15/2020,Nelson Frami,Prohaska - Schiller,implement viral markets,2,Writer,No,No
8/15/2020,Nelson Frami,"Feeney, Balistreri and Waters",implement proactive content,2,Writer,No,Yes
8/15/2020,Nelson Frami,Walsh and Sons,implement holistic action-items,1,Writer,No,Yes
8/17/2020,Ophelia Lynch,Prohaska - Schiller,implement viral markets,1.55,Designer,No,No
8/17/2020,Ophelia Lynch,Larson Inc,deliver mission-critical vortals,1.56,Designer,No,Yes
8/17/2020,Ophelia Lynch,Larson Inc,deliver mission-critical vortals,1.54,Designer,No,Yes
8/17/2020,Ottilie Graham,Larson Inc,deliver mission-critical vortals,2,Designer,No,Yes
8/17/2020,Ottilie Graham,Wintheiser LLC,integrate extensible bandwidth,7,Designer,No,Yes
8/17/2020,Kattie Gerlach,Walsh and Sons,enhance dot-com convergence,0.75,Account Manager,No,Yes
8/17/2020,Kattie Gerlach,Larson Inc,deliver mission-critical vortals,0.75,Account Manager,No,Yes
8/17/2020,Kattie Gerlach,Walsh and Sons,leverage B2C e-business,0.25,Account Manager,No,Yes
8/17/2020,Kattie Gerlach,Walsh and Sons,revolutionize end-to-end networks,0.25,Account Manager,No,Yes
8/17/2020,Kattie Gerlach,Walsh and Sons,implement holistic action-items,0.5,Account Manager,No,Yes
8/17/2020,Kattie Gerlach,Wintheiser LLC,integrate extensible bandwidth,0.25,Account Manager,No,Yes
8/17/2020,Kattie Gerlach,Prohaska - Schiller,incentivize impactful e-business,0.25,Account Manager,No,No
8/17/2020,Kattie Gerlach,Prohaska - Schiller,transition user-centric interfaces,1,Account Manager,No,No
8/17/2020,Kattie Gerlach,Prohaska - Schiller,syndicate global platforms,4.5,Account Manager,No,No
8/17/2020,Nelson Frami,Walsh and Sons,expedite B2B applications,5,Writer,No,Yes
8/17/2020,Nelson Frami,Prohaska - Schiller,syndicate global platforms,3,Writer,No,No
8/17/2020,Kattie Gerlach,"Kiehn, Cummings and Kunze",monetize global web services,0.5,Account Manager,No,Yes
8/17/2020,Phoebe Hilll,Prohaska - Schiller,transition proactive networks,1,Producer,No,No
8/17/2020,Phoebe Hilll,Prohaska - Schiller,transition user-centric interfaces,1,Producer,No,No
8/17/2020,Phoebe Hilll,Prohaska - Schiller,syndicate global platforms,5,Producer,No,No
8/17/2020,Marianna Armstrong,Wintheiser LLC,integrate extensible bandwidth,3.5,Writer,No,Yes
8/17/2020,Marianna Armstrong,Prohaska - Schiller,syndicate global platforms,3.5,Writer,No,No
8/17/2020,Marianna Armstrong,Prohaska - Schiller,transition user-centric interfaces,2.5,Writer,No,No
8/17/2020,Brock Hane,Walsh and Sons,implement holistic action-items,9.5,Writer,No,Yes
8/17/2020,Brock Hane,Walsh and Sons,leverage B2C e-business,10,Writer,No,Yes
8/17/2020,Brock Hane,Walsh and Sons,expedite B2B applications,15,Writer,No,Yes
8/17/2020,Brock Hane,Prohaska - Schiller,implement viral markets,3,Writer,No,No
8/17/2020,Brock Hane,Prohaska - Schiller,syndicate global platforms,2.5,Writer,No,No
8/17/2020,Phoebe Hilll,"Feeney, Balistreri and Waters",whiteboard vertical portals,1,Producer,No,Yes
8/17/2020,Bernardo Legros,Prohaska - Schiller,transition user-centric interfaces,1,Designer,No,No
8/17/2020,Bernardo Legros,Walsh and Sons,expedite B2B applications,7,Designer,No,Yes
8/18/2020,Ophelia Lynch,Prohaska - Schiller,implement viral markets,2.92,Designer,No,No
8/18/2020,Ophelia Lynch,Larson Inc,deliver mission-critical vortals,3.34,Designer,No,Yes
8/18/2020,Nelson Frami,Walsh and Sons,expedite B2B applications,1.5,Writer,No,Yes
8/18/2020,Nelson Frami,Prohaska - Schiller,syndicate global platforms,4,Writer,No,No
8/18/2020,Kattie Gerlach,Walsh and Sons,implement holistic action-items,1,Account Manager,No,Yes
8/18/2020,Kattie Gerlach,Walsh and Sons,leverage B2C e-business,0.5,Account Manager,No,Yes
8/18/2020,Kattie Gerlach,Walsh and Sons,enhance dot-com convergence,0.25,Account Manager,No,Yes
8/18/2020,Kattie Gerlach,"Kiehn, Cummings and Kunze",monetize global web services,1.5,Account Manager,No,Yes
8/18/2020,Kattie Gerlach,Walsh and Sons,expedite B2B applications,1,Account Manager,No,Yes
8/18/2020,Kattie Gerlach,Prohaska - Schiller,transition user-centric interfaces,0.5,Account Manager,No,No
